,release_year,lenght,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,clusters
0,1945,51,1,6.5364428,0,0.6,6.629937,0
1,1976,119,0,8.1,588100,106.4,7.8,1
2,1978,110,0,7.2,283316,33.2,7.4,1
3,1973,129,0,8.3,266738,24.6,8.0,1
4,1979,119,0,7.3,216307,75.7,7.2,1
5,1975,91,0,8.2,547292,21.0,7.8,1
6,1978,109,0,7.4,123611,17.4,7.0,0
7,1969,30,4,8.8,75654,24.8,8.3,0
8,1979,94,0,8.0,405022,19.8,7.8,1
9,1954,120,0,7.5,46586,11.6,7.2,0
10,1977,112,0,6.0,1883,7.9,6.5,0
11,1971,102,0,6.9,29706,11.0,6.6,0
12,1958,77,0,7.5,4878,7.4,7.4,0
13,1979,78,0,8.1,5141,7.3,7.4,0
14,1978,141,0,4.8,37,1.9,6.0,0
15,1969,152,0,6.8,199,2.4,7.0,0
16,1972,97,0,6.4,433,2.1,6.1,0
17,1972,43,1,8.1,2199,1.5,7.0,0
18,1977,150,0,7.5,2718,7.2,7.4,0
19,1966,120,0,6.7,251,2.8,6.3,0
20,1980,138,0,6.2,599,3.7,6.8,0
21,1974,162,0,6.5,259,1.5,5.3,0
22,1962,163,0,6.9,312,1.9,5.8,0
23,1973,131,0,5.3,50,2.5,3.8,0
24,1963,186,0,7.6,2670,6.8,7.1,0
25,1975,103,0,6.4,1181,5.1,6.2,0
26,1956,120,0,6.7,703,3.0,5.6,0
27,1954,100,0,7.4,1219,2.9,6.9,0
28,1976,124,0,7.1,863,2.6,5.6,0
29,1980,133,0,7.3,1859,2.5,6.3,0
30,1975,133,0,5.8,78,2.4,6.7,0
31,1970,129,0,8.0,2189,2.2,8.4,0
32,1971,142,0,5.8,81,1.1,6.0,0
33,1980,93,0,7.8,80,1.0,5.0,0
34,1971,153,0,6.1,147,1.0,7.0,0
35,1989,24,9,8.9,326487,270.4,8.3,1
36,1986,110,0,6.9,465070,117.3,7.0,1
37,1989,114,0,6.7,78096,12.6,6.6,0
38,1985,91,0,6.8,211725,78.2,7.1,1
39,1986,101,0,7.3,141134,20.1,7.3,0
40,1982,95,0,6.8,197284,58.9,6.9,1
41,1985,98,0,6.9,54766,11.7,6.7,0
42,1989,102,0,6.8,78406,18.6,6.7,0
43,1990,104,0,5.3,141682,49.0,5.8,0
44,1988,106,0,6.1,129240,40.4,6.0,0
45,1986,161,0,7.1,81880,13.5,7.2,0
46,1989,124,0,7.1,51875,14.0,6.7,0
48,1986,116,0,6.0,11350,11.2,6.0,0
49,1986,84,0,6.8,15202,8.6,6.7,0
50,1987,100,0,6.2,388,1.2,6.8,0
52,1990,94,0,5.5,220,2.2,5.0,0
53,1981,107,0,6.8,5093,6.3,6.3,0
54,1989,72,0,8.1,1555,1.8,7.1,0
55,1983,108,0,6.4,161,2.3,5.5,0
56,1982,144,0,7.6,1322,11.0,7.6,0
57,1982,77,0,7.9,15393,10.1,7.4,0
58,1981,14,10,7.4,3678,6.5,7.2,0
59,1990,100,0,6.1,494,2.6,5.3,0
60,1981,135,0,7.2,1378,10.4,7.3,0
61,1988,124,0,7.3,1824,8.9,6.9,0
62,1990,174,0,7.6,9142,7.4,6.4,0
63,1985,87,0,8.0,6714,7.6,8.2,0
64,1986,100,0,6.0,974,3.4,6.1,0
65,1989,102,0,7.2,903,2.7,6.3,0
66,1982,134,0,6.4,1548,6.0,5.4,0
67,1982,161,0,1.7,26,5.9,6.1,0
68,1989,162,0,5.5,232,5.6,8.0,0
69,1985,160,0,6.1,297,5.2,5.8,0
70,1990,172,0,6.6,5467,3.9,6.5,0
71,1986,153,0,6.2,78,2.7,10.0,0
72,1986,159,0,5.2,141,2.0,6.7,0
73,1984,170,0,6.4,265,1.9,10.0,0
74,1988,148,0,5.4,103,1.9,5.0,0
75,1988,100,0,7.2,149,1.9,8.0,0
76,1987,172,0,4.8,73,1.9,6.629937,0
77,1990,105,0,6.5,720,1.8,5.3,0
78,1986,100,0,6.9,220,1.7,7.5,0
79,1988,95,0,5.9,416,1.6,5.3,0
80,1983,151,0,6.3,79,1.5,7.0,0
81,1988,100,0,6.8,519,1.5,6.2,0
82,1983,129,0,7.3,1190,1.2,6.7,0
86,1993,105,0,6.8,180523,17.7,6.7,0
87,1994,142,0,8.8,2106826,69.6,8.5,2
88,1992,99,0,8.3,1031133,31.6,8.1,1
89,2000,46,8,8.2,131967,265.2,7.9,0
90,1998,25,1,8.9,123834,60.0,8.5,0
91,1999,101,0,7.4,166882,18.0,7.1,0
92,1995,24,1,8.5,73413,51.9,8.7,0
93,1996,138,0,7.3,272498,20.2,6.9,1
94,1999,124,0,7.2,320706,27.6,7.3,1
97,1999,93,0,6.4,222489,24.7,6.5,1
98,1995,107,0,6.5,97101,19.4,6.5,0
100,1997,101,0,5.7,142696,15.9,5.9,0
101,1994,26,4,7.8,10291,23.4,7.7,0
102,2000,25,9,7.9,16790,130.7,8.6,0
103,1995,95,0,6.7,14015,12.0,6.3,0
104,1997,139,0,7.1,147831,22.4,7.2,0
105,1998,22,7,7.3,21954,28.2,7.2,0
106,1998,125,0,6.8,70584,18.7,7.1,0
107,1998,136,0,6.8,188900,37.9,6.5,1
108,1999,108,0,6.8,52243,19.1,6.6,0
109,1997,87,0,8.1,57273,34.9,8.4,0
110,1993,22,4,6.2,4035,16.2,6.5,0
111,1991,102,0,6.9,83620,35.4,7.4,0
112,1996,25,4,7.8,16037,47.4,8.3,0
113,1998,30,0,6.5364428,0,2.3,5.2,0
114,2000,21,8,7.4,4715,55.7,7.6,0
115,1998,25,4,7.4,1803,5.5,7.4,0
116,1998,75,0,7.8,5998,5.4,7.5,0
117,1999,87,0,7.9,4871,6.6,7.6,0
118,1998,94,0,7.0,22470,11.3,6.8,0
119,1995,105,0,6.8,5382,4.5,6.8,0
121,1996,95,0,5.7,119572,19.4,5.6,0
122,1994,45,7,7.8,3341,28.8,7.1,0
123,1998,69,0,6.5364428,0,11.2,7.0,0
124,1998,20,10,8.0,165,20.0,6.2,0
125,2000,104,0,6.8,6803,8.5,6.5,0
126,1998,25,4,8.0,5234,89.8,8.6,0
127,2000,40,1,9.0,2630,7.3,8.6,0
128,1993,124,0,7.0,743,3.1,6.0,0
129,1995,88,0,7.5,7724,11.5,7.3,0
130,1999,19,5,6.9,2486,15.4,7.9,0
131,1996,21,6,5.8,3899,16.2,6.9,0
132,1994,22,6,6.3,13054,32.2,7.5,0
133,2000,55,0,7.3,186,2.1,8.5,0
134,1993,126,0,5.4,2260,3.5,5.8,0
135,1998,163,0,7.5,29580,7.3,6.8,0
136,2000,123,0,7.8,6414,12.9,8.0,0
137,1995,99,0,7.8,7900,12.0,7.5,0
138,1999,93,0,6.3,85125,39.2,6.5,0
139,1994,158,0,7.7,18728,8.1,6.5,0
140,1995,141,0,8.1,13031,5.7,7.2,0
141,2000,160,0,6.1,7954,5.7,6.5,0
142,1996,148,0,5.5,3014,4.1,6.7,0
143,2000,106,0,4.4,51851,19.5,5.0,0
144,1994,206,0,7.5,21674,7.8,6.4,0
145,1993,124,0,6.7,1652,4.9,6.2,0
146,1998,177,0,7.5,54032,15.8,7.6,0
147,1994,147,0,3.7,168,2.4,6.0,0
149,1999,106,0,5.9,1030,0.8,6.0,0
150,1992,163,0,6.5,6508,7.6,6.6,0
151,1999,174,0,6.1,5633,4.4,6.6,0
152,1998,84,0,6.9,775,2.7,6.4,0
153,1995,153,0,4.0,1790,2.3,5.2,0
155,1991,44,1,6.5364428,0,9.0,7.6,0
156,1998,165,0,5.5,7914,6.8,5.9,0
157,1995,165,0,7.6,3056,6.7,7.1,0
158,1999,177,0,6.3,8985,6.6,6.0,0
159,1995,172,0,5.4,4087,5.0,5.1,0
160,1994,146,0,6.6,6808,4.9,7.2,0
161,1996,163,0,4.6,2459,4.5,5.3,0
162,1997,136,0,7.2,2995,3.9,6.8,0
163,1996,160,0,7.9,2706,3.9,7.4,0
164,1999,131,0,4.6,4393,3.8,5.7,0
165,1993,59,0,7.7,189,3.4,5.5,0
166,1993,175,0,7.8,3693,3.4,7.8,0
167,1998,58,0,7.8,1122,3.4,6.9,0
168,1998,175,0,6.4,3728,3.0,6.5,0
169,1998,105,0,7.6,4462,2.9,7.4,0
170,1993,149,0,6.1,857,2.7,7.4,0
171,1991,162,0,5.8,79,2.7,6.7,0
172,1991,97,0,6.9,412,2.6,6.3,0
173,1999,118,0,6.5364428,0,2.5,7.8,0
174,1991,142,0,4.5,214,2.4,5.0,0
175,1997,145,0,6.7,1276,2.2,6.7,0
176,1995,156,0,5.0,258,2.2,8.3,0
177,1999,50,0,7.7,105,2.0,6.7,0
178,1997,55,0,6.4,70,1.9,5.2,0
179,1994,129,0,6.5,1056,1.5,6.1,0
180,1991,100,0,7.2,256,1.5,5.1,0
181,1993,153,0,4.8,345,1.5,5.5,0
182,1997,90,0,7.4,123,1.4,7.7,0
183,1998,160,0,4.9,137,1.4,6.0,0
184,1991,100,0,5.5,364,1.4,6.0,0
185,1996,56,0,6.8,128,1.1,5.8,0
186,2008,48,5,9.5,1936461,451.8,8.9,2
189,2003,28,5,8.7,309568,53.5,8.0,1
190,2009,23,6,8.5,271794,123.5,8.0,1
