,id,title,type,release_year,lenght,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genre,country,imdb_score_level,tmdb_score_level
0,ts300399,Five Came Back: The Reference Films,show,1945,51,documentation,US,1,6.5364428,0,0.6,6.629937,documentation,US,,
1,tm82169,Rocky,movie,1976,119,"drama, sport",US,0,8.1,588100,106.4,7.8,drama,US,,High score
2,tm17823,Grease,movie,1978,110,"romance, comedy",US,0,7.2,283316,33.2,7.4,romance,US,High score,High score
3,tm191099,The Sting,movie,1973,129,"crime, drama, comedy, music",US,0,8.3,266738,24.6,8.0,crime,US,,High score
4,tm69975,Rocky II,movie,1979,119,"drama, sport",US,0,7.3,216307,75.7,7.2,drama,US,High score,High score
5,tm127384,Monty Python and the Holy Grail,movie,1975,91,"fantasy, comedy",GB,0,8.2,547292,21.0,7.8,fantasy,GB,,High score
6,tm17249,Animal House,movie,1978,109,comedy,US,0,7.4,123611,17.4,7.0,comedy,US,High score,High score
7,ts22164,Monty Python's Flying Circus,show,1969,30,"comedy, european",GB,4,8.8,75654,24.8,8.3,comedy,GB,,
8,tm70993,Life of Brian,movie,1979,94,comedy,GB,0,8.0,405022,19.8,7.8,comedy,GB,High score,High score
9,tm16479,White Christmas,movie,1954,120,"comedy, music, romance",US,0,7.5,46586,11.6,7.2,comedy,US,High score,High score
10,tm91699,Heroes,movie,1977,112,"drama, comedy, romance",US,0,6.0,1883,7.9,6.5,drama,US,High score,High score
11,tm12775,Play Misty for Me,movie,1971,102,"drama, thriller",US,0,6.9,29706,11.0,6.6,drama,US,High score,High score
12,tm135083,Cairo Station,movie,1958,77,"drama, comedy, crime",EG,0,7.5,4878,7.4,7.4,drama,EG,High score,High score
13,tm69997,Richard Pryor: Live in Concert,movie,1979,78,"comedy, documentation",US,0,8.1,5141,7.3,7.4,comedy,US,,High score
14,tm16812,Bandie,movie,1978,141,"drama, romance, action",IN,0,4.8,37,1.9,6.0,drama,IN,Low score,High score
15,tm75975,Prince,movie,1969,152,romance,IN,0,6.8,199,2.4,7.0,romance,IN,High score,High score
16,tm156453,FTA,movie,1972,97,"comedy, documentation, music",US,0,6.4,433,2.1,6.1,comedy,US,High score,High score
